content,cleaned,category,appVersion,at
Pathetic experience on delivery timelines,pathetic experience delivery timelines,Late Delivery,19.2.2,16-10-2025 08:40
"I har order from nisar hotel, in food I found some unwanted material (like hair) but while rise issue to support team not getting satisfied answer from team, not appreciate at all, really poor, I am one of regular customer of zomato I order more then 2 order in day but after this experience I quit Yesterday I also faced the same issue with Martinoz , no improvement in service poor poooooooooooor very poor",har order nisar hotel food found unwanted material like hair rise issue support team getting satisfied answer team appreciate really poor one regular customer zomato order order day experience quit yesterday also faced issue martinoz improvement service poor poooooooooooor poor,"Late Delivery, Customer Support",19.2.2,16-10-2025 08:22
Earlier thy were not adding any packaging charges and thy charging is vogus check on this..,earlier thy adding packaging charges thy charging vogus check,Payment/Refund Issues,19.2.2,16-10-2025 08:09
"I recently placed an order through Zomato, and one of the item was missing when the delivery arrived. I immediately raised a complaint, but despite multiple follow-ips and messages, the issue was never resolved. it's really disappointing that a platform like Zomato doesn't take responsibility for incomplete order. Their customer support is unhelpful and unresponsive, and they refuse yo issue a refund or replacement for the missing item. I trusted Zomato for reliability and quick service but this",recently placed order zomato one item missing delivery arrived immediately raised complaint despite multiple followips messages issue never resolved really disappointing platform like zomato doesnt take responsibility incomplete order customer support unhelpful unresponsive refuse yo issue refund replacement missing item trusted zomato reliability quick service,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",19.1.8,16-10-2025 08:08
let dn fc7 4,let dn fc,Other,,16-10-2025 08:04
zomato is such a scam.. delivers half of the ordered food and when I complain they don't respond after complaining many times the cc executive replied they can't verify the issue so they won't take any responsibility.. like all time zomato sucks😡👎,zomato scam delivers half ordered food complain dont respond complaining many times cc executive replied cant verify issue wont take responsibility like time zomato sucks,Late Delivery,,16-10-2025 07:42
pleeeease assign the delivery person sooner .. EVERY order rwe have to keep a tab n inform. delivery person is not assigned well soon enough n there is heavy delay on this matter !!! please up your services ....it's frustrating the delayed delivery...!!! please keep the customer care and COD facilities active .. suddenly there is no proper customer support or COD options ..if d service was smooth then prepayment would be fine.order tracking NOT seen ..strange ..pls do d needful!,pleeeease assign delivery person sooner every order rwe keep tab n inform delivery person assigned well soon enough n heavy delay matter please services frustrating delayed delivery please keep customer care cod facilities active suddenly proper customer support cod options service smooth prepayment would fineorder tracking seen strange pls needful,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.7,16-10-2025 07:41
worst not delivery the food and stopped my amount to 7 days end of the day we have to pay the amount to order food they I'll not delivery the food and they are using our payments,worst delivery food stopped amount days end day pay amount order food ill delivery food using payments,"Late Delivery, Payment/Refund Issues",,16-10-2025 07:41
🤔,,Other,,16-10-2025 07:38
There is no proper customer support with mail as well as through calls,proper customer support mail well calls,Customer Support,19.2.2,16-10-2025 07:31
Zomato charges more than the restaurant rate.,zomato charges restaurant rate,Payment/Refund Issues,19.2.2,16-10-2025 07:29
Suddenly they have removed the option to view the reviews and images uploaded by the customers by replacing it with a personalized rating which is not at all relevant. Please bring that option back.,suddenly removed option view reviews images uploaded customers replacing personalized rating relevant please bring option back,Other,19.2.2,16-10-2025 07:28
very bad customer service zomato 🚫🚫,bad customer service zomato,Customer Support,19.2.1,16-10-2025 07:19
most horrible customer service... it doesn't exist and gives all query to chatbot,horrible customer service doesnt exist gives query chatbot,Customer Support,19.2.1,16-10-2025 06:59
delivery partner is the worst no behaving sense,delivery partner worst behaving sense,Other,,16-10-2025 06:50
tried to force me to give tips by slyly adding it to the bill without me realising you have to opt out of tipping every time will not use ever again,tried force give tips slyly adding bill without realising opt tipping every time use ever,Late Delivery,,16-10-2025 06:42
chor. company 😀,chor company,Other,19.2.1,16-10-2025 05:45
No customer care support provided by Zomato.Restaurant delivered wrong quantity package but there are no any support provided by zomato .,customer care support provided zomatorestaurant delivered wrong quantity package support provided zomato,Customer Support,19.2.1,16-10-2025 05:19
"I am never ordering food from here. A few days ago I ordered food from here and I saw I ordered the wrong items, so I cancelled the order and asked for the refund. Now they are saying you didn't cancel in time so we won't give the refund. I said okay so send the items they are saying no you cancel the order so we can't give the items. So now I neither have the refund nor the food. That kind of service they provide. And their chat supports people who aren't good either.",never ordering food days ago ordered food saw ordered wrong items cancelled order asked refund saying didnt cancel time wont give refund said okay send items saying cancel order cant give items neither refund food kind service provide chat supports people arent good either,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",16.1.9,16-10-2025 05:19
"bad cancellation policy if food gets delay to delivered they don't allow to cancel it,even if you try to cancel it they never refund full amount why a user should allow to cancel if it does get delivered on time with full refund or compensation if a user accepts to deliver the food,learn something from Swiggy they have good cancellation policy zomato wants user has to suffer bad customer support,bad escalation support I am gold member and does not feel anything about its time to delete ths ap",bad cancellation policy food gets delay delivered dont allow cancel iteven try cancel never refund full amount user allow cancel get delivered time full refund compensation user accepts deliver foodlearn something swiggy good cancellation policy zomato wants user suffer bad customer supportbad escalation support gold member feel anything time delete ths ap,"Late Delivery, Payment/Refund Issues, Customer Support",,16-10-2025 04:00
"I have a question to zomato , does your delivery boy ask to pay using scanner even if you have cash ? and the reason he gives is that they have been given some limit for taking cash from customer, also one more suspicious thing delivery boy try to give their scanner even if customer is pay through upi directly from zomato app , is it normal in your zomato service ?? ( i didn't use his scanner i used zomato app to pay , and I will recommend that to everyone , avoid delivery boy scanner) .",question zomato delivery boy ask pay using scanner even cash reason gives given limit taking cash customer also one suspicious thing delivery boy try give scanner even customer pay upi directly zomato app normal zomato service didnt use scanner used zomato app pay recommend everyone avoid delivery boy scanner,Customer Support,19.2.1,16-10-2025 03:38
pathetic app no response to customer query and problem. They just ignore it all. thanks for the response tomato but guys don't give a damn. I am deleting this pathetic app. I had an incident yesterday as well. Thank you for the waste you call service.,pathetic app response customer query problem ignore thanks response tomato guys dont give damn deleting pathetic app incident yesterday well thank waste call service,Customer Support,19.2.1,16-10-2025 03:21
very worst customer service delivering incorrect foods ordering kabab but recieved only grevy.,worst customer service delivering incorrect foods ordering kabab recieved grevy,"Late Delivery, Wrong/Missing Items, Customer Support",,16-10-2025 02:54
"The recent update on the app, isn't cool. We were able to make decisions based on seeing real reviews by the users where they had share their experiences as well as real photos of the food. Now, since you have removed it, we can only see overall ratings than each feedback. I guess this move is for the owners benefit than for the customers. How much have these people paid you to do so? I personally liked Zomato, but with this move of yours why shouldn't I switch to Swiggy, with a faster delivery.",recent update app isnt cool able make decisions based seeing real reviews users share experiences well real photos food since removed see overall ratings feedback guess move owners benefit customers much people paid personally liked zomato move shouldnt switch swiggy faster delivery,Other,19.2.2,16-10-2025 01:58
worst app i have seen till now,worst app seen till,Other,19.2.2,16-10-2025 01:06
"I ordered food last night and there was no option of cash on delivery so I paid online but the delivery boy did not deliver the food and my money was also not refunded, very bad app, I will never order food from Zomato again.",ordered food last night option cash delivery paid online delivery boy deliver food money also refunded bad app never order food zomato,"Late Delivery, Payment/Refund Issues",19.2.2,16-10-2025 00:35
worst customer support when we ask for cancel the order they are trying to making conversation delay and telling that your order is prepared now we can't cancel trying engaging the customer and once the food us ready then they'll tell that your order us ready we can't cancel now,worst customer support ask cancel order trying making conversation delay telling order prepared cant cancel trying engaging customer food us ready theyll tell order us ready cant cancel,"Late Delivery, Customer Support",19.2.2,15-10-2025 23:04
